question,option_a,option_b,option_c,option_d,correct_answer,domain,difficulty,explanation
"What is the largest country by area?","Canada","China","United States","Russia","D","Geography","Medium","Russia is the largest country with an area of 17.1 million km²."
"How many degrees are in a circle?","180","270","360","540","C","Mathematics","Easy","A complete circle has 360 degrees."
"What is the capital of Germany?","Munich","Hamburg","Berlin","Frankfurt","C","Geography","Easy","Berlin is the capital and largest city of Germany."
"Which gas do plants absorb from the atmosphere?","Oxygen","Carbon Dioxide","Nitrogen","Argon","B","Biology","Easy","Plants absorb CO2 for photosynthesis."
"What is the largest desert in the world?","Sahara","Arabian","Gobi","Antarctic","D","Geography","Medium","The Antarctic Desert is technically the world's largest desert."
"How many sides does a hexagon have?","5","6","7","8","B","Mathematics","Easy","A hexagon is a 6-sided polygon."
"What is the capital of Spain?","Barcelona","Valencia","Madrid","Seville","C","Geography","Easy","Madrid is the capital and largest city of Spain."
"Which planet is closest to the Sun?","Venus","Mercury","Earth","Mars","B","Astronomy","Easy","Mercury is the closest planet to the Sun."
"What is the chemical symbol for Oxygen?","O","O2","O3","Ox","A","Chemistry","Easy","The chemical symbol for Oxygen is O."
"How many continents does Africa have?","1","2","3","4","A","Geography","Easy","Africa is itself a continent."
"What year did the Titanic sink?","1911","1912","1913","1914","B","History","Medium","The Titanic sank on April 15, 1912."
"What is the smallest country in the world?","Monaco","Liechtenstein","San Marino","Vatican City","D","Geography","Medium","Vatican City is the smallest country with an area of about 0.44 km²."
"How many chromosomes do humans have?","23","46","69","92","B","Biology","Medium","Humans have 46 chromosomes (23 pairs)."
"What is the capital of Canada?","Toronto","Vancouver","Montreal","Ottawa","D","Geography","Easy","Ottawa is the capital of Canada."
"Which scientist developed the theory of evolution?","Isaac Newton","Charles Darwin","Albert Einstein","Stephen Hawking","B","Biology","Medium","Charles Darwin proposed the theory of natural selection and evolution."
"What is the largest mammal on Earth?","Elephant","Hippopotamus","Giraffe","Blue Whale","D","Biology","Easy","The blue whale is the largest mammal, reaching up to 30 meters in length."
"How many teeth do adult humans have?","28","30","32","36","C","Biology","Easy","Adult humans typically have 32 teeth."
"What is the capital of Italy?","Milan","Venice","Florence","Rome","D","Geography","Easy","Rome is the capital of Italy."
"Which metal is liquid at room temperature?","Aluminum","Iron","Mercury","Gold","C","Chemistry","Medium","Mercury is the only metal that is liquid at room temperature."
"What is the smallest bone in the human body?","Tibia","Fibula","Stapes","Femur","C","Biology","Medium","The stapes (stirrup bone) in the middle ear is the smallest bone."
"How many sides does a triangle have?","2","3","4","5","B","Mathematics","Easy","A triangle has 3 sides."
"What is the capital of Brazil?","Rio de Janeiro","São Paulo","Salvador","Brasília","D","Geography","Easy","Brasília has been the capital since 1960."
"Which country has the most population?","India","United States","Indonesia","China","A","Geography","Medium","India has surpassed China as the most populous country."
"What is the chemical formula for salt?","NaCl","KCl","MgCl2","CaCl2","A","Chemistry","Easy","Sodium chloride (NaCl) is common table salt."
"How many minutes are in a day?","1000","1200","1440","1800","C","Mathematics","Easy","There are 24 × 60 = 1440 minutes in a day."
"What is the capital of Mexico?","Guadalajara","Monterrey","Cancun","Mexico City","D","Geography","Easy","Mexico City is the capital of Mexico."
"Which planet has the most moons?","Saturn","Jupiter","Neptune","Uranus","B","Astronomy","Medium","Jupiter has 95 known moons as of recent counts."
"What is the deepest ocean trench?","Mariana Trench","Tonga Trench","Philippine Trench","Kuril-Kamchatka Trench","A","Geography","Medium","The Mariana Trench is approximately 11,000 meters deep."
"How many sides does a pentagon have?","4","5","6","7","B","Mathematics","Easy","A pentagon has 5 sides."
"What is the capital of Greece?","Thessaloniki","Patras","Larissa","Athens","D","Geography","Easy","Athens is the capital of Greece."
"Which element is essential for human respiration?","Nitrogen","Oxygen","Carbon Dioxide","Hydrogen","B","Chemistry","Easy","Oxygen is essential for cellular respiration."
"What is the capital of South Korea?","Busan","Incheon","Daegu","Seoul","D","Geography","Easy","Seoul is the capital of South Korea."
"How many strings does a guitar have?","5","6","7","8","B","Music","Easy","A standard guitar has 6 strings."
"What is the capital of Egypt?","Alexandria","Giza","Cairo","Luxor","C","Geography","Easy","Cairo is the capital of Egypt."
"Which animal is the fastest land animal?","Lion","Antelope","Horse","Cheetah","D","Biology","Easy","The cheetah can reach speeds of up to 120 km/h."
"What is the capital of Thailand?","Chiang Mai","Phuket","Pattaya","Bangkok","D","Geography","Easy","Bangkok is the capital of Thailand."
"How many players are on a soccer team on the field?","9","10","11","12","C","Sports","Easy","Each soccer team has 11 players on the field."
"What is the capital of Sweden?","Gothenburg","Malmö","Uppsala","Stockholm","D","Geography","Easy","Stockholm is the capital of Sweden."
"Which gas is used in balloons to make them float?","Oxygen","Nitrogen","Helium","Argon","C","Chemistry","Easy","Helium is lighter than air and commonly used in balloons."
"What is the capital of Norway?","Bergen","Stavanger","Trondheim","Oslo","D","Geography","Easy","Oslo is the capital of Norway."
"How many valves does a human heart have?","2","3","4","5","C","Biology","Medium","The heart has 4 chambers but functions with 4 main valves."
"What is the capital of Turkey?","Istanbul","Izmir","Antalya","Ankara","D","Geography","Easy","Ankara is the capital of Turkey."
"Which planet is known for its rings?","Neptune","Uranus","Saturn","Jupiter","C","Astronomy","Easy","Saturn is famous for its prominent ring system."
"What is the capital of Portugal?","Porto","Lisbon","Covilhã","Aveiro","B","Geography","Easy","Lisbon is the capital of Portugal."
"How many sides does a rhombus have?","3","4","5","6","B","Mathematics","Easy","A rhombus has 4 equal sides."
"What is the capital of Poland?","Kraków","Gdańsk","Wrocław","Warsaw","D","Geography","Easy","Warsaw is the capital of Poland."
"Which animal has the longest neck?","Ostrich","Llama","Emu","Giraffe","D","Biology","Easy","The giraffe has the longest neck of any animal."
"What is the capital of Hungary?","Debrecen","Miskolc","Szeged","Budapest","D","Geography","Easy","Budapest is the capital of Hungary."
"How many faces does a cube have?","4","5","6","7","C","Mathematics","Easy","A cube has 6 square faces."
"What is the capital of Czech Republic?","Brno","Ostrava","Plzeň","Prague","D","Geography","Easy","Prague is the capital of Czech Republic."
"Which scientist discovered penicillin?","Marie Curie","Louis Pasteur","Alexander Fleming","Jonas Salk","C","Biology","Medium","Alexander Fleming discovered penicillin in 1928."
"What is the capital of Romania?","Cluj-Napoca","Timișoara","Constanța","Bucharest","D","Geography","Easy","Bucharest is the capital of Romania."
"How many bones does a newborn baby have?","150","206","270","300","C","Biology","Medium","Newborns have approximately 270 bones, many are cartilage."
"What is the capital of Greece's largest island?","Rethymno","Chania","Heraklion","Agios Nikolaos","C","Geography","Medium","Heraklion is on Crete, Greece's largest island."
"Which country is the largest producer of coffee?","Vietnam","Colombia","Indonesia","Brazil","D","Geography","Medium","Brazil produces about a third of the world's coffee."
"What is the capital of Belgium?","Antwerp","Ghent","Liège","Brussels","D","Geography","Easy","Brussels is the capital of Belgium."
"How many chambers does a human heart have?","2","3","4","5","C","Biology","Medium","The heart has 4 chambers: right atrium, left atrium, right ventricle, and left ventricle."
"What is the capital of Netherlands?","Rotterdam","Amsterdam","Utrecht","The Hague","B","Geography","Easy","Amsterdam is the capital of Netherlands."
"Which is the hottest planet in our solar system?","Mercury","Venus","Earth","Mars","B","Astronomy","Medium","Venus is the hottest planet due to its dense atmosphere."
"What is the capital of Austria?","Salzburg","Innsbruck","Linz","Vienna","D","Geography","Easy","Vienna is the capital of Austria."
"How many vertices does a square have?","2","3","4","5","C","Mathematics","Easy","A square has 4 vertices (corners)."
"What is the capital of Switzerland?","Zurich","Basel","Geneva","Bern","D","Geography","Easy","Bern is the capital of Switzerland."
"Which gas makes up about 78% of Earth's atmosphere?","Oxygen","Argon","Carbon Dioxide","Nitrogen","D","Chemistry","Medium","Nitrogen makes up approximately 78% of the atmosphere."
"What is the capital of Denmark?","Aarhus","Odense","Aalborg","Copenhagen","D","Geography","Easy","Copenhagen is the capital of Denmark."
"How long is the Great Wall of China?","5,000 km","8,850 km","13,171 km","20,000 km","C","Geography","Medium","The Great Wall is approximately 13,171 kilometers long."
"What is the capital of Finland?","Tampere","Turku","Espoo","Helsinki","D","Geography","Easy","Helsinki is the capital of Finland."
